dates, values
01-Oct-05,261
02-Oct-05,304
03-Oct-05,297
04-Oct-05,309
05-Oct-05,292
06-Oct-05,293
07-Oct-05,296
08-Oct-05,304
09-Oct-05,286
10-Oct-05,321
11-Oct-05,308
12-Oct-05,264
13-Oct-05,282
14-Oct-05,270
15-Oct-05,287
16-Oct-05,295
17-Oct-05,275
18-Oct-05,302
19-Oct-05,308
20-Oct-05,277
21-Oct-05,281
22-Oct-05,264
23-Oct-05,285
24-Oct-05,268
25-Oct-05,278
26-Oct-05,269
27-Oct-05,261
28-Oct-05,266
29-Oct-05,279
30-Oct-05,305
31-Oct-05,281
01-Nov-05,304
02-Nov-05,276
03-Nov-05,304
04-Nov-05,283
05-Nov-05,285
06-Nov-05,309
07-Nov-05,291
08-Nov-05,284
09-Nov-05,287
10-Nov-05,241
11-Nov-05,282
12-Nov-05,300
13-Nov-05,319
14-Nov-05,295
15-Nov-05,310
16-Nov-05,279
17-Nov-05,284
18-Nov-05,259
19-Nov-05,277
20-Nov-05,265
21-Nov-05,273
22-Nov-05,268
23-Nov-05,251
24-Nov-05,225
25-Nov-05,294
26-Nov-05,281
27-Nov-05,278
28-Nov-05,298
29-Nov-05,318
30-Nov-05,292
01-Dec-05,267
02-Dec-05,247
03-Dec-05,254
04-Dec-05,271
05-Dec-05,299
06-Dec-05,305
07-Dec-05,265
08-Dec-05,278
09-Dec-05,232
10-Dec-05,264
11-Dec-05,283
12-Dec-05,294
13-Dec-05,289
14-Dec-05,247
15-Dec-05,252
16-Dec-05,258
17-Dec-05,291
18-Dec-05,303
19-Dec-05,305
20-Dec-05,289
21-Dec-05,260
22-Dec-05,275
23-Dec-05,262
24-Dec-05,275
25-Dec-05,271
26-Dec-05,307
27-Dec-05,314
28-Dec-05,323
29-Dec-05,290
30-Dec-05,278
31-Dec-05,277
01-Jan-06,311
02-Jan-06,339
03-Jan-06,267
04-Jan-06,290
05-Jan-06,264
06-Jan-06,295
07-Jan-06,284
08-Jan-06,290
09-Jan-06,329
10-Jan-06,285
11-Jan-06,265
12-Jan-06,275
13-Jan-06,278
14-Jan-06,283
15-Jan-06,267
16-Jan-06,311
17-Jan-06,297
18-Jan-06,276
19-Jan-06,263
20-Jan-06,299
21-Jan-06,323
22-Jan-06,287
23-Jan-06,291
24-Jan-06,297
25-Jan-06,291
26-Jan-06,274
27-Jan-06,275
28-Jan-06,268
29-Jan-06,280
30-Jan-06,292
31-Jan-06,304
01-Feb-06,255
02-Feb-06,285
03-Feb-06,286
04-Feb-06,300
05-Feb-06,265
06-Feb-06,301
07-Feb-06,270
08-Feb-06,313
09-Feb-06,289
10-Feb-06,255
11-Feb-06,257
12-Feb-06,251
13-Feb-06,280
14-Feb-06,303
15-Feb-06,328
16-Feb-06,299
17-Feb-06,295
18-Feb-06,271
19-Feb-06,271
20-Feb-06,303
21-Feb-06,284
22-Feb-06,308
23-Feb-06,313
24-Feb-06,292
